yyyy-mm-dd hh:mm:ss,temp_C,HR,pres_mbar,rain_mm/h,solarRad_W/m2,windSpeed_m/s,windGust_m/s
01-01-2017 00:00,7.4,92,1020,0,0,8.4,15.1
01-01-2017 01:00,7.3,92,1019.6,0,0,8.3,15.5
01-01-2017 02:00,7,92,1018.9,0,0,7.9,15.5
01-01-2017 03:00,6.8,92,1018.9,0,0,7.9,15.8
01-01-2017 04:00,6.1,94,1018.6,0,0,7.6,16.6
01-01-2017 05:00,5.7,95,1018.4,0,0,7.2,16.2
01-01-2017 06:00,5.5,95,1018.1,0,0,9,15.8
01-01-2017 07:00,5.9,95,1017.8,0,0,10.5,18
01-01-2017 08:00,6.1,94,1018,0,0,11.6,19.1
01-01-2017 09:00,6.9,93,1017.8,0,16,11.9,20.5
01-01-2017 10:00,9.1,86,1017.7,0,101,12.2,21.2
01-01-2017 11:00,10.8,81,1017.4,0,160,14,22
01-01-2017 12:00,12.4,76,1016.5,0,219,15.1,23.4
01-01-2017 13:00,13.3,73,1015.4,0,180,15.8,24.5
01-01-2017 14:00,13.7,71,1014.4,0,113,17.4,25.6
01-01-2017 15:00,13.9,70,1013.6,0,89,18.3,25.6
01-01-2017 16:00,13.8,70,1013.1,0,59,16.8,25.2
01-01-2017 17:00,13.4,73,1013,0,31,16.1,23.8
01-01-2017 18:00,12.9,75,1012.4,0,0,16.3,23
01-01-2017 19:00,12.6,78,1011.9,0.1,0,17.1,26.3
01-01-2017 20:00,12.4,79,1011.3,0.1,0,18.3,27.7
01-01-2017 21:00,12.3,79,1010.7,0,0,19.8,30.6
01-01-2017 22:00,12.1,81,1010.1,0,0,22.3,33.8
01-01-2017 23:00,12,85,1009.3,0,0,25,38.5
02-01-2017 00:00,11.7,88,1008.3,0,0,27.4,41.8
02-01-2017 01:00,11.4,89,1007.5,0,0,28,43.2
02-01-2017 02:00,11.4,88,1006.5,0,0,28.3,45
02-01-2017 03:00,11.5,89,1005.9,0.1,0,29.6,47.2
02-01-2017 04:00,11.7,88,1005.3,0.4,0,30.3,50.4
02-01-2017 05:00,11.9,89,1004.6,0.9,0,32.2,55.1
02-01-2017 06:00,12.1,88,1003.9,1,0,34,56.9
02-01-2017 07:00,12.5,87,1003.7,0.5,0,33.2,56.5
02-01-2017 08:00,12.9,86,1003.8,0.1,0,34.9,56.2
02-01-2017 09:00,13.4,83,1003.9,0.1,6,34.7,58
02-01-2017 10:00,13.9,80,1004.9,0.8,8,35.9,58.7
02-01-2017 11:00,14.2,80,1005.2,1,12,36.3,61.9
02-01-2017 12:00,14.4,82,1004.7,1.6,2,37.8,67
02-01-2017 13:00,14.1,86,1004.1,1.7,1,37,62.6
02-01-2017 14:00,13.8,87,1003.7,2,0,39.2,68.4
02-01-2017 15:00,13.9,87,1003.7,1.9,10,40.2,68.8
02-01-2017 16:00,13.9,88,1003.7,1.9,2,38.4,69.1
02-01-2017 17:00,13.9,88,1004,1.7,6,36.7,68.4
02-01-2017 18:00,13.9,89,1004.3,1.8,0,32.6,65.5
02-01-2017 19:00,14,91,1005.1,3.3,0,31.1,57.2
02-01-2017 20:00,14,92,1005.9,3.2,0,28.1,53.3
02-01-2017 21:00,14.2,92,1006.5,2.5,0,27.3,48.6
02-01-2017 22:00,14.2,92,1007.5,2.1,0,25.6,45.4
02-01-2017 23:00,14.3,92,1007.9,0.1,0,26.3,42.8
03-01-2017 00:00,14.3,93,1008.1,0,0,26.1,41.4
03-01-2017 01:00,14.2,94,1008.1,0,0,25.1,39.2
03-01-2017 02:00,14.3,93,1008.2,0,0,23.1,36.7
03-01-2017 03:00,14.3,92,1008.7,0.1,0,22,35.3
03-01-2017 04:00,14.1,93,1009.1,0.2,0,20.3,34.6
03-01-2017 05:00,14.2,93,1009.3,0.2,0,18.2,32
03-01-2017 06:00,14.2,92,1010,0.2,0,16.6,28.8
03-01-2017 07:00,14.2,93,1010.6,0.6,0,16.3,27
03-01-2017 08:00,14.3,92,1011.6,0.5,0,15.5,25.9
03-01-2017 09:00,14.5,93,1012.6,0.4,13,14.9,25.9
03-01-2017 10:00,15,92,1013.9,0.3,30,16.1,26.3
03-01-2017 11:00,15.2,90,1014.6,0.3,42,15.1,25.9
03-01-2017 12:00,15.3,90,1014.4,0.4,44,16.5,26.6
03-01-2017 13:00,15.5,89,1014.4,0.2,35,18.1,28.8
03-01-2017 14:00,15.3,90,1014.1,0.5,39,19.2,29.9
03-01-2017 15:00,15.7,87,1014.3,0,150,17.8,28.8
03-01-2017 16:00,15.5,88,1014.5,0,57,17,28.4
03-01-2017 17:00,15.1,91,1014.8,0,19,15.5,25.9
03-01-2017 18:00,14.5,93,1015.5,0,0,14,23
03-01-2017 19:00,14.8,91,1015.9,0,0,11.7,21.6
03-01-2017 20:00,14.5,92,1016.3,0,0,11.3,17.6
03-01-2017 21:00,14.3,92,1016.6,0,0,11.7,17.6
03-01-2017 22:00,14.1,93,1017.3,0.2,0,11,17.6
03-01-2017 23:00,13.9,93,1017.8,0.1,0,10.3,16.9
04-01-2017 00:00,13.8,93,1017.6,0,0,10.5,16.2
04-01-2017 01:00,13.5,94,1017.6,0,0,10.7,15.8
04-01-2017 02:00,13.3,94,1017.6,0,0,10.5,15.8
04-01-2017 03:00,13.2,94,1017.6,0,0,10.3,16.2
04-01-2017 04:00,13.1,94,1017.8,0,0,10.3,16.2
04-01-2017 05:00,12.9,95,1017.6,0.1,0,10.3,15.8
04-01-2017 06:00,12.8,95,1017.8,0.3,0,10.3,15.8
04-01-2017 07:00,12.7,96,1018,0,0,10.5,15.8
04-01-2017 08:00,12.6,96,1018.5,0,0,10.8,16.6
04-01-2017 09:00,12.9,96,1018.7,0,22,11.6,18
04-01-2017 10:00,13.9,94,1019.5,0,87,12.6,20.5
04-01-2017 11:00,14.9,90,1019.8,0,124,13.7,23
04-01-2017 12:00,15.7,86,1019.1,0,192,13.9,23.8
04-01-2017 13:00,16.3,82,1018.6,0,241,13,22.3
04-01-2017 14:00,16.5,80,1018.1,0,169,12.4,22
04-01-2017 15:00,16.5,80,1018.1,0,196,12,20.5
04-01-2017 16:00,16.3,82,1018.2,0,100,10.5,18.7
04-01-2017 17:00,15.7,87,1018.5,0,41,8.8,15.5
04-01-2017 18:00,14.8,92,1018.7,0,2,7.6,11.9
04-01-2017 19:00,13.5,96,1018.8,0,0,8,11.2
04-01-2017 20:00,13.3,96,1018.8,0,0,8.8,10.4
04-01-2017 21:00,13.5,96,1018.6,0,0,7.5,10.1
04-01-2017 22:00,13.3,97,1018.8,0,0,6.8,9.7
04-01-2017 23:00,11.3,100,1019,0,0,5.9,9
05-01-2017 00:00,10.7,100,1018.7,0,0,5.5,10.1
05-01-2017 01:00,10.7,100,1018.5,0,0,5.2,11.9
05-01-2017 02:00,10.8,100,1018.3,0,0,5.1,12.2
05-01-2017 03:00,10.7,100,1018.2,0,0,4.7,12.6
05-01-2017 04:00,10.5,100,1017.9,0,0,4.3,12.2
05-01-2017 05:00,10.2,100,1017.5,0,0,3.3,11.9
05-01-2017 06:00,9.9,99,1017.5,0,0,2.5,10.8
05-01-2017 07:00,9.5,99,1017.3,0,0,3.3,9.4
05-01-2017 08:00,9.5,99,1017.5,0,0,4.9,11.5
05-01-2017 09:00,9.8,98,1017.9,0,7,5.7,13.3
05-01-2017 10:00,10.6,97,1018.5,0,24,6.4,13.7
05-01-2017 11:00,11.4,98,1018.5,0,53,5.8,13.3
05-01-2017 12:00,12.1,95,1018.3,0,64,4.2,12.6
05-01-2017 13:00,13.5,89,1017.6,0,87,2.1,10.8
05-01-2017 14:00,14.3,87,1017,0,143,2.5,10.1
05-01-2017 15:00,14.9,83,1016.8,0,159,4.3,13
05-01-2017 16:00,15.1,81,1016.8,0,119,5.8,15.1
05-01-2017 17:00,14.7,84,1016.9,0,29,5.4,15.8
05-01-2017 18:00,13.9,87,1017.3,0,1,6.6,16.6
05-01-2017 19:00,13.4,87,1016.9,0,0,7.3,11.5
05-01-2017 20:00,12.7,89,1017,0,0,7.3,11.9
05-01-2017 21:00,12,92,1016.9,0,0,8.2,13.3
05-01-2017 22:00,11.5,93,1017.3,0,0,7.8,14.8
05-01-2017 23:00,11,94,1016.9,0,0,7.8,16.2
06-01-2017 00:00,10.7,94,1017.3,0,0,7.4,17.3
06-01-2017 01:00,10.4,95,1017.1,0,0,7.1,17.3
06-01-2017 02:00,9.9,95,1017.3,0,0,7,16.6
06-01-2017 03:00,9.5,95,1017.3,0,0,7.9,15.8
06-01-2017 04:00,9.1,95,1017.5,0,0,9.3,16.2
06-01-2017 05:00,8.8,95,1017.2,0,0,10.5,18.7
06-01-2017 06:00,8.4,94,1017.3,0,0,10.8,19.8
06-01-2017 07:00,8.4,97,1017.6,0,0,11.1,20.2
06-01-2017 08:00,8.3,96,1017.8,0,0,11.8,21.2
06-01-2017 09:00,8.3,94,1018.3,0,10,12.6,22.3
06-01-2017 10:00,9.1,91,1019.1,0,50,11.1,23
06-01-2017 11:00,10.7,85,1018.7,0,147,11.4,23
06-01-2017 12:00,12.2,79,1018.4,0,325,11.3,22.3
06-01-2017 13:00,13.4,74,1017.7,0,379,11.1,21.2
06-01-2017 14:00,14.3,70,1017.3,0,384,10.5,19.4
06-01-2017 15:00,14.8,67,1017,0,315,10.1,18.4
06-01-2017 16:00,14.9,66,1017.2,0,209,9.4,17.6
06-01-2017 17:00,14.3,70,1017.6,0,81,6.5,16.2
06-01-2017 18:00,13.2,76,1017.8,0,4,8.7,12.6
06-01-2017 19:00,11.6,84,1018.1,0,0,8.7,14.8
06-01-2017 20:00,10.6,87,1018.5,0,0,8.7,14.4
06-01-2017 21:00,10,87,1018.7,0,0,8.8,15.1
06-01-2017 22:00,9.7,88,1019.1,0,0,9.5,15.8
06-01-2017 23:00,9.4,89,1019.6,0,0,9.9,16.6
07-01-2017 00:00,9.1,89,1019.4,0,0,10,17.3
07-01-2017 01:00,8.8,89,1019.4,0,0,10.2,18
07-01-2017 02:00,8.5,90,1019.1,0,0,9.9,18.7
07-01-2017 03:00,8.2,90,1019.1,0,0,9.3,18.4
07-01-2017 04:00,8,91,1019.3,0,0,9.2,17.3
07-01-2017 05:00,7.7,91,1019.1,0,0,10.2,18
07-01-2017 06:00,7.4,90,1019.6,0,0,10.8,18.7
07-01-2017 07:00,7.2,89,1019.7,0,0,11.4,19.1
07-01-2017 08:00,7,89,1020.5,0,0,11.4,19.8
07-01-2017 09:00,7.4,87,1020.9,0,36,12.4,21.2
07-01-2017 10:00,9.1,82,1021.7,0,154,11.7,21.6
07-01-2017 11:00,10.9,78,1021.7,0,279,11.3,21.2
07-01-2017 12:00,12.7,73,1021.1,0,369,10.8,20.9
07-01-2017 13:00,13.9,70,1020.1,0,409,9.3,19.4
07-01-2017 14:00,14.7,68,1019.8,0,389,7.4,16.6
07-01-2017 15:00,15,67,1019.8,0,319,5.5,13.7
07-01-2017 16:00,15,67,1020,0,213,5.1,11.2
07-01-2017 17:00,14.2,72,1020.1,0,83,5.5,10.1
07-01-2017 18:00,12.8,77,1020.2,0,4,8.1,12.6
07-01-2017 19:00,11.5,79,1020.3,0,0,8.8,15.8
07-01-2017 20:00,10.7,80,1020.6,0,0,9.7,15.5
07-01-2017 21:00,10,80,1020.6,0,0,10.2,15.8
07-01-2017 22:00,9.4,80,1021,0,0,8.4,16.9
07-01-2017 23:00,8.8,80,1020.8,0,0,9.7,18.4
08-01-2017 00:00,8.4,80,1020.7,0,0,10.2,19.1
08-01-2017 01:00,8,81,1020.3,0,0,11,19.1
